phrases,weight
alternative,69799
metal,48435
angry,25328
industrial,24484
90s,20506
nu metal,18260
grunge,17324
favorites,14080
hardcore,13806
hip-hop,13437
alternative metal,13059
singer-songwriter,12373
heavy metal,12047
emo,11883
industrial metal,11464
thrash metal,10331
british,10308
metalcore,9241
80s,8687
00s,8174
political,8135
awesome,8010
post-hardcore,7359
american,6975
love,6314
riot grrrl,6110
piano,5800
screamo,5609
death metal,5554
soul,5352
new wave,4715
german,4554
progressive metal,4513
dark,4446
experimental,4401
acoustic,4359
melodic death metal,4298
cover,4142
nu-metal,3986
beautiful,3938
dance,3903
sad,3899
70s,3878
female,3872
favorite,3739
soundtrack,3517
epic,3452
catchy,3451
sexy,3244
favourites,3218
black metal,3067
gothic,3056
favorite songs,2991
symphonic metal,2977
ebm,2962
crossover,2937
korn,2846
canadian,2814
mellow,2737
melancholy,2650
heavy,2559
eminem,2522
fucking awesome,2516
energetic,2471
aggressive,2430
amazing,2418
upbeat,2299
fun,2286
cool,2264
loved,2210
great lyrics,2188
gothic metal,2150
emocore,2122
post-grunge,2066
guitar,2041
kelly clarkson,2039
rage against the machine,1979
funk,1975
77davez-all-tracks,1875
ska,1862
australian,1827
power metal,1805
female fronted metal,1776
chill,1753
dark electro,1649
groove metal,1648
swedish,1628
deutsch,1621
system of a down,1619
chillout,1595
favourite,1589
nin,1573
finnish,1569
melodic hardcore,1555
mod,1553
electro,1541
intense,1530
irish,1526
darkwave,1516
live,1500
underground hip-hop,1446
favourite songs,1439
covers,1436
electroclash,1431
nine inch nails,1424
instrumental,1415
mathcore,1394
powerful,1389
thrash,1384
party,1347
downtempo,1303
old school,1295
doom metal,1290
rammstein,1286
symphonic black metal,1264
comedy,1241
usa,1232
goth,1228
progressive,1226
speed metal,1212
2000s,1209
noise,1206
garage,1198
love at first listen,1191
sex,1189
love it,1187
happy,1174
melancholic,1161
hard,1160
pj harvey,1160
aitch,1157
moody,1147
uk,1120
brilliant,1119
trip-hop,1119
tori amos,1118
driving,1115
digital hardcore,1100
christian,1095
deathcore,1088
spoken word,1078
incubus,1071
60s,1069
angst,1067
poetry,1064
good,1032
nirvana,1032
great,1025
angry songs,1012
funny,1008
marilyn manson,1001
beyonce,997
emotional,984
psychedelic,981
godsmack,968
post hardcore,967
grindcore,955
loud,952
<3,951
funk metal,949
sludge,922
math metal,912
trent reznor,910
breakup,903
angry ass-kicking masheeen,901
seattle,886
avril lavigne,867
haunting,854
reggae,841
taylor swift,837
brand new,830
finnish metal,826
hiphop,821
atmospheric,819
california,818
depressive,817
bitter,816
singer songwriter,816
funky,815
summer,802
2009,791
energy,789
numetal,785
genius,777
shakira,773
oldies,767
shoegaze,763
fast,762
guilty pleasure,750
1990s,747
dramatic,742
good stuff,738
melodic metal,732
fav,731
under two minutes,727
pissed off,723
rage,718
cello metal,710
mudvayne,704
slow,702
ben folds,697
english,690
metallica,690
american idol,684
evanescence,682
perfect,682
whitney houston,678
raw,669
best,664
aitchawake,663
americana,659
ratm,648
aitchepic,647
lo-fi,643
nostalgia,636
muse,635
quirky,625
ambient,623
anger,623
faves,620
badass,617
japanese,617
nice,615
memories,609
girl power,604
smooth,604
the cardigans,603
cypress hill,584
rob zombie,582
brutal,578
lyrics,577
italian,576
attitude,574
songs i absolutely love,570
melodic black metal,569
crazy,565
stoner metal,564
feminist,563
jack off jill,563
dubstep,562
technical metal,558
drums,556
best songs ever,555
riot grrl,553
twee,540
slayer,539
groovy,536
technical death metal,536
fall out boy,532
techno,532
fiona apple,529
suicidal doom,528
motorhead,524
r&b,522
alice in chains,511
electro-industrial,510
blue october,506
guilty pleasures,506
french,505
kick ass,504
frustration,503
doomcore,499
beats,498
aitchsonic,497
1993,495
post-metal,495
brutal death metal,494
rb,494
hot,493
hair metal,492
favorite bands,489
audioase,488
moonh8sun,488
diva,486
80s hardcore,484
depressing,484
grime,483
placebo,482
limp bizkit,481
spanish,480
uplifting,480
post grunge,477
cabaret,476
garbage,476
drum and bass,473
other,471
2002,464
bass,463
sludge metal,462
soad,461
fuck you,459
social commentary,458
apocalyptica,457
relaxing,453
soft,452
cathartic,451
guitar hero,451
sweet,451
2008,449
stoner,448
urban,447
1994,445
melodic,444
aggrotech,440
2003,438
rise against,438
2000,435
angry music,434
melanie c,434
dnb,433
aimee mann,430
fierce,430
revolutionary,430
sing along,428
music,427
interesting,424
revenge,424
welsh,424
avant-garde,422
hole,419
aitchchill,418
new york,417
best song ever,416
my favorites,416
love songs,415
relax,414
female voices,412
title is a full sentence,412
good shit,411
leapsandloved,408
guns n roses,406
my music,406
easy listening,405
lamb of god,405
all time favorites,404
three days grace,403
great song,402
depression,401
extreme metal,400
great lyricists,399
breakup songs,398
legend,398
scottish,398
favorite artists,395
essentials,391
screaming,391
cute,389
favs,388
cello,386
immortal technique,384
halloween,383
phantom planet,381
angry girl songs,378
lovely,377
male,376
harsh ebm,375
masterpiece,375
new metal,375
anberlin,371
crunk love,370
groove,370
awake,368
the offspring,367
mod revival,366
dreamy,362
radiohead,360
visual kei,360
bikini kill,359
protest,356
addictive,355
bitch,355
bittersweet,354
dope,354
sound storm,351
4,348
angry girl music,347
clever lyrics,347
drugs,347
2007,345
glam metal,345
revolution,343
the cranberries,343
5,342
heartbreak,342
kickass,342
1998,341
on repeat,341
kanye west,340
