"track_id","tempo","loudness","mode","artist_name","title"
"TRMAAAI128F931B75D",110.107,-7.208,1,"Toxik","False Prophets (Album Version)"
"TRMAAAK128F93344F9",60.408,-23.843,1,"Jean Martinon/Orchestre de Paris/Choeurs de l'Opéra National de Paris","Daphnis et Chloé (1988 Digital Remaster)_ Part I: 7. Danse légère et gracieuse de Daphnis"
"TRMAAAM128F426F0CA",107.3,-22.507,1,"Goblin","Patrick"
"TRMAAAN128F931D275",209.549,-7.206,1,"Tin Armor","My Fatal Organ"
"TRMAAAQ128F14554C6",135.162,-8.882,1,"Bad Brains","Let Me Help (Live)"
"TRMAAAX128F932133E",126.629,-8.223,1,"Odds","Someone Who's Cool"
"TRMAABO128F92F1DDE",115.837,-5.303,1,"Marvelous 3","Indie Queen (LP Version)"
"TRMAACA128F426D57E",110.091,-5.787,0,"Mercury Rain","The Boat Of The Dead"
"TRMAACK128EF34F8A4",97.502,-11.893,1,"Mitch Ryder","Jenny Take A Ride"
"TRMAACY128F92D8195",124.152,-6.647,1,"Wolfsheim","Once In A Lifetime"
"TRMAADA128F932AB4C",127.007,-2.98,1,"Accessory","Humanity"
"TRMAAEF128F4296A58",113.565,-8.391,1,"Sam Brown","Over The Moon"
"TRMAAFB128F42282FD",91.298,-8.551,1,"Anita Baker","Caught Up In The Rapture [Single Version]"
"TRMAAFD128F4272005",147.952,-16.042,1,"Rudolf Schock/Fritz Wunderlich/Georg Völker/Annelies Herfurth/Lisa Otto/Karl-Ernst Mercker /Ursula Schirrmacher /Günther-Arndt-Chor/Berliner Symphoniker/Fried Walter","Eine Nacht in Venedig · Operette in 3 Akten (Querschnitt) (2000 Digital Remaster)_ Erster Akt: Annina! - Caramello! (Caramello_ Annina)"
"TRMAAFD128F42B4CE3",97.908,-8.853,1,"Relax","Nie im Leb'n"
"TRMAAFL128F42458CC",94.658,-36.065,1,"William Basinski","Variation III"
"TRMAAGA128F92DB8C7",107.976,-6.711,0,"Space March","Canadian Girls"
"TRMAAGD128F428144B",114.043,-6.948,1,"Dizzy","Crossing the line"
"TRMAAGY12903CBF07B",130.056,-6.742,1,"Marcel Woods","Everything"
"TRMAAHC128F934A922",152.949,-12.202,1,"Johnny Bond","Ridin' Down To Santa Fe"
"TRMAAHD128F427AAF5",133.84,-8.24,0,"The House Of Love","Ray"
"TRMAAHK128F42AF0F2",115.189,-14.488,1,"Sarah McLachlan","Answer"
"TRMAAHK128F9314E18",88.089,-17.699,0,"Sean Watkins","CAMMAC"
"TRMAAIT128F147C5B9",103.061,-4.988,0,"Rachael Lampa","God Loves You (LP Version)"
"TRMAAJA128F42514F3",87.58,-7.504,0,"Shat","Chock Full Of Cunts"
"TRMAAJN128EF34F602",96.371,-5.618,1,"Mal De Ojo","Galdutako musuak"
"TRMAAJO128F931887A",112.23,-5.131,1,"Mr. Sche","Magic"
"TRMAAJO128F9337C8D",116.771,-15.54,1,"Craig Ferguson","Plastic Surgery"
"TRMAAJO128F93447AF",215.925,-21.179,1,"Lesley Garrett / BBC Concert / Bateman","SMOKE GETS IN YOUR EYES"
"TRMAAJP128F92DDEC8",88.256,-11.666,1,"Fionn Regan","Hey Rabbit"
"TRMAAJS128F93111F5",148.009,-10.124,1,"Lou Reed","Mad (LP Version)"
"TRMAAKB128F4238456",206.103,-9.531,1,"50 Foot Wave","Clara Bow (Live In Seattle)"
"TRMAAKX128F42619B3",98.849,-7.83,0,"SkinnyMan","Life In My Rhymes"
"TRMAALA128F9361635",100.589,-7.654,1,"Vincent Vallières","Salaud"
"TRMAALV12903CE990F",80.028,-4.684,1,"Dora The Explorer","We Wish You A Merry Christmas"
"TRMAALW128F148C8AE",142.075,-23.474,0,"Bert Kaempfert And His Orchestra","Lullaby Of Birdland"
"TRMAAME128F425D8F0",157.953,-9.396,0,"Richard Marx","Wait For The Sunrise"
"TRMAAMV128F4254395",92.782,-15.293,1,"Rev. James Moore","Behold His Face"
"TRMAANI128F92F4DCF",169.987,-7.008,1,"Electrosoul System","Whale Dance"
"TRMAANN128F4220270",104.915,-15.894,0,"Medwyn Goodall","The Adventures of Anandis"
"TRMAANP128F42734C1",62.706,-10.727,1,"Golden Boys","O Cabeção"
"TRMAANU128F429B10F",161.593,-5.602,1,"A Static Lullaby","The Collision"
"TRMAANZ128F42185AF",144.019,-19.219,1,"D.C. Anderson","That Lonesome Road"
"TRMAAOP128F931F879",132.268,-7.032,1,"Jark Prongo","The Industry"
"TRMAAOU128F92E418F",140.495,-14.927,1,"Mad Professor","In King David's Style"
"TRMAAPK128E07844B2",44.633,-13.108,1,"Rufus Wainwright","Es Mus Sein"
"TRMAAQD128F93591A7",77.143,-13.731,1,"Chris Wall","Ten Cents on the Dollar"
"TRMAAQF128F92E564E",108.944,-6.149,1,"Los Cuates de Sinaloa","El Lider"
"TRMAAQI128E07987CA",108.656,-6.984,1,"Kim Weston","Go On Without Me"
"TRMAAQM128F92F73F3",114.87,-8.623,0,"TYR","Grial I"
"TRMAAQR128F428A220",88.042,-8.893,0,"Floyd Cramer","What'd I Say"
"TRMAAQR128F92EB92E",69.348,-2.498,1,"Unité 2 Feu","91ème"
"TRMAARK128F9317070",110.341,-8.797,1,"Wayne Bergeron","You Hid What In The Sousaphone?"
"TRMAARL128F426ECDF",120.414,-12.276,0,"Somadrone","Stand Up On It"
"TRMAARS12903CDABC2",105.414,-15.883,1,"Peter La Farge","Take Back Your Atom Bomb"
"TRMAAST128F1469F2A",65.616,-7.55,1,"Cheb Mami","Tayo Tayo Adiani"
"TRMAASU128F42BBF97",233.874,-6.95,0,"Kaoma","Idem"
"TRMAATE128EF35BE61",159.998,-7.167,0,"Eurogliders","Hummingbird"
"TRMAATV12903CE595F",103.612,-7.383,1,"Damita Jo","She's Got You"
"TRMAAWF128F1456522",122.97,-9.72,0,"Spiller","Groovejet (If This Ain't Love) (Ernest St Laurent Remix)"
"TRMAAXD128F428CB2C",121.609,-5.562,1,"Bongzilla","Hashdealer"
"TRMAAXP128F145C995",135.447,-8.274,1,"Catherine Wheel","Broken Nose"
"TRMAAXT128F931DF2E",140.256,-5.201,1,"Grand Theft Audio","We Luv U"
"TRMAAXX128F42B8513",100.012,-6.359,0,"Gipsy Kings","La Tounga"
"TRMAAXZ12903CF9892",109.337,-13.47,1,"The Winans","Lord I Believe"
"TRMAAYB12903CA52A5",140.039,-6.735,0,"Switchfoot","Dare You To Move"
"TRMAAYH128F42AC3F1",103.635,-22.607,1,"Giovanni Allevi","Le Tue Mani"
"TRMAAYJ128F425FF39",125.014,-6.539,0,"Leo García","Reirme Más"
"TRMAAYK12903D0206A",99.353,-26.984,1,"Big Bill Broonzy","Going Down This Road"
"TRMAAYU12903CA329B",94.45,-21.064,1,"Mint","IVR the Friendly Voice"
"TRMAAZC12903D03FBB",116.14,-13.585,1,"The Seldom Scene","Lay Down Sally"
"TRMAAZE128F426F400",168.009,-6.647,0,"Maks And The Minors","Better Things"
"TRMABAB12903CDB421",113.023,-6.708,0,"Sieges Even","Scratches In The Rind"
"TRMABAD128F427C569",103.979,-4.034,1,"Angie Stone and Eddie Levert_ Sr.(of The O'Jays)","Rain Down"
"TRMABBK12903CBFC7F",135.013,-6.707,1,"Pulser","Things You Say"
"TRMABBU128F92E4B3F",87.165,-6.6,1,"Mafalda Veiga","No Rasto Do Sol"
"TRMABBV128F92EA1BB",75.218,-19.087,1,"Bill Gaither Trio","I Will Serve Thee"
"TRMABBX128F9341184",144.246,-18.445,1,"John Kirkpatrick","Not for Joe"
"TRMABCG128F14A534D",124.661,-13.423,0,"Fanny","Rock Bottom Blues (Original Version)"
"TRMABCO128F42927A1",168.73,-12.704,1,"Holger Waernecke","Die Ausreisserin"
"TRMABCR128F92D8EA3",130.857,-9.749,1,"Bad Manners","Special Brew"
"TRMABCY128F4268E95",189.819,-7.203,0,"Headhunters","Funk Hunter"
"TRMABDB128F42644C7",88,-10.459,1,"Helmet","Vaccination"
"TRMABDV128F932F514",56.543,-13.433,1,"Simon Harris","Sample Track 15"
"TRMABEQ128EF363A4F",99.303,-6.151,0,"Miguel Morales","Sirena Encantada"
"TRMABFB128E078F64C",186.175,-4.2,1,"New Found Glory","Never Give Up"
"TRMABFN128E0799505",111.056,-13.973,1,"Carl Thomas","Trouble Wont Last (Interlude)(Album Version)"
"TRMABFP128F4220ACA",184.703,-9.854,1,"Pete Miser","Ditto (Featuring Sister Nancy And Tinny Fnurnk)"
"TRMABFS12903CA9D0E",91.817,-9.764,1,"The Black Keys","Just A Little Heat"
"TRMABFU128F933E7F6",168.899,-7.505,0,"Harrison Kennedy","Hypnotic Music"
"TRMABGJ128F92D3E45",133.745,-11.296,1,"The Farm","Over Again"
"TRMABGM128EF367159",178.797,-20.09,1,"Alternative TV","How Much Longer?"
"TRMABGS128F9330324",102.548,-13.208,0,"The High Strung","I Need A Smart Girl"
"TRMABGZ128E0785D10",123.045,-7.314,1,"Ophélie Winter","Je Cours"
"TRMABGZ128F42AAC0E",125.054,-13.055,1,"Anja Schneider","Addicted"
"TRMABHK128F146614E",104.354,-12.751,0,"Whitesnake","Give Me All Your Love (Live)"
"TRMABHS128F145FD39",150.331,-8.316,1,"Marvin Gaye / Kim Weston","It Takes Two"
"TRMABIF128F9308692",153.961,-11.292,0,"65daysofstatic","The Conspiracy of Seeds"
"TRMABIL128F92DC081",67.661,-24.54,0,"Bill Evans Trio","Since We Met"
"TRMABJL128F934EF4C",116.007,-5.632,0,"The Spook","Some Like It Dead"
"TRMABJN128F4270CD7",112.738,-11.013,1,"MC Duke","Got To Get Your Own"
"TRMABJP128F93120BA",89.953,-15.299,1,"Soho","No Soul"
"TRMABJT128F92F029B",160.136,-16.335,1,"Lorena","Sin Medida"
"TRMABKI128F14668D7",177.178,-8.061,1,"Joe Cocker","Summer In The City"
"TRMABKL128F42185C6",132.757,-19.947,1,"D.C. Anderson","Bonny Portmore"
"TRMABLG128F9335EF6",91.128,-7.973,1,"Lori McKenna","In Your Eyes"
"TRMABLS128F933F81C",135.016,-3.467,1,"Tying Tiffany","I'd rather bet on outsiders"
"TRMABNI128F1495AB2",172.422,-17.915,0,"João Gilberto","Eu Sambo Mesmo"
"TRMABNY12903CB521F",129.123,-5.598,1,"Variety Lab","Money"
"TRMABOG12903CFC871",121.813,-4.302,1,"Cocktail Slippers","She's A FoolA"
"TRMABOR128F428F515",197.917,-4.955,1,"Tara Perdida","Vou P'ra Longe"
"TRMABOR128F9314F2E",91.009,-3.819,1,"T-Nutty","Controversy"
"TRMABOW128F92DCE27",131.918,-5.087,1,"Van She","Strangers"
"TRMABQG128F92CF9AC",120.011,-7.176,0,"Technologic","We are technology"
"TRMABQN128E078C7CD",112.261,-13.484,1,"Squallor","Torna A Casa Mexico"
"TRMABQP128F14A7B7F",114.962,-14.711,1,"DOB","WAX"
"TRMABQT128F92CD583",148.834,-41.382,1,"John Foxx & Harold Budd","Avenue Of Trees"
"TRMABRC128F930A29C",80.916,-10.11,1,"Drop Trio","invisible pants"
"TRMABRN12903CFB13D",89.493,-9.514,1,"Jordan_ Louis","Saturday Night Fish Fry"
"TRMABRP128F92F5BF5",123.854,-7.432,1,"Lucio Dalla","Se Io Fossi Un Angelo"
"TRMABSD12903CF3F45",81.993,-17.863,1,"Halle_ Eberson_ Sletten & Kjellemyr","A Ballad For Randi"
"TRMABSL128F422DA77",148.456,-7.406,1,"Matthew Good Band","Change of Season"
"TRMABTI128F9343D70",92.765,-5.133,1,"Kapasiteettiyksikkö","Saarna"
"TRMABTU12903CC9AFE",158.07,-5.994,1,"Datarock","Fear Of Death"
"TRMABUL128F424E92F",95.513,-11.858,1,"Louis Slipperz","Lounge Lizards"
"TRMABUP128F425C386",124.6,-3.745,1,"Rotten Sound","Alternews"
"TRMABUV12903C9D430",91.93,-5.1,0,"Tea Time_ Big Syke","Señorita (feat. Big Syke) (Thug life)"
"TRMABVO128F422B226",128.003,-12.963,0,"Dirty Projectors","Come Forward"
"TRMABWL128F42267A1",66.39,-26.404,0,"The Cassandra Complex","Three String Blues"
"TRMABWN128F92FF426",127.378,-7.729,1,"Moot Davis","Whiskey Town"
"TRMABWO128F42BC77E",65.827,-15.325,1,"Michael W. Smith","There Is None Like You"
"TRMABWU128F425C225",101.534,-13.331,1,"Kati Mac","Your Life Is In Your Hands"
"TRMABWW12903C9B1EA",0,-8.658,0,"Eisblut","Altersheim"
"TRMABXJ128F933EA63",174.728,-5.778,1,"Sepultura","As It Is"
"TRMABXM128F4266265",119.847,-6.507,1,"LSG","My Body (Remastered Single Version)"
"TRMABXU128F4299447",135.021,-7.2,0,"Freestylers","Security (Ctrl Z Remix)"
"TRMABXZ128E078B053",68.282,-15.851,0,"Cheech & Chong","Trippin' In Court"
